"orderId","category","mainDish","pairedDish","session","taste","budget","groupSize"
1,"breakfast","Bara","None","Online","Spicy","Medium",4
2,"snacks","Dahibara Aludum","Gupchup","Takeaway","Savory","High",4
3,"drinks","Buttermilk","None","Online","Mild","Low","Family Pack"
4,"dinner","Khaja","None","Dine-in","Mild","High",6
5,"dinner","Chuna Machha Tarkari","None","Online","Savory","High","Family Pack"
6,"breakfast","Dalma","Rice & Saga Bhaja","Takeaway","Savory","Low","Family Pack"
7,"lunch","Saga Bhaja","None","Dine-in","Sweet","High",6
8,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Mild","High",1
9,"dinner","Dahi Baigana","None","Online","Savory","Medium",1
10,"lunch","Macha Besara","Chingudi Jhola","Dine-in","Savory","High","Family Pack"
11,"breakfast","Chhena Poda","None","Online","Sweet","Low",2
12,"dinner","Khaja","None","Dine-in","Mild","High",4
13,"dinner","Chuna Machha Tarkari","None","Dine-in","Spicy","High","Family Pack"
14,"dinner","Dahi Baigana","None","Takeaway","Sweet","Low","Family Pack"
15,"dinner","Mati Handi Mutton","None","Takeaway","Mild","Medium",1
16,"dinner","Dahi Baigana","None","Online","Mild","Medium",2
17,"snacks","Aloo Chop","None","Takeaway","Sweet","High",6
18,"drinks","Lassi","None","Dine-in","Sweet","Medium",4
19,"lunch","Dalma","Rice & Saga Bhaja","Online","Mild","High",1
20,"drinks","Buttermilk","None","Dine-in","Mild","Low",6
21,"dinner","Mutton Kassa","Khaja","Online","Sweet","Low",6
22,"drinks","Palm Juice","None","Online","Sweet","Medium","Family Pack"
23,"lunch","Macha Besara","Chingudi Jhola","Online","Sweet","High",6
24,"breakfast","Dalma","Rice & Saga Bhaja","Dine-in","Savory","Low",2
25,"breakfast","Pakhala Bhata","Badi Chura","Online","Mild","High",2
26,"dinner","Mati Handi Mutton","None","Takeaway","Spicy","Low",4
27,"dinner","Mutton Kassa","Khaja","Takeaway","Sweet","Low",2
28,"snacks","Aloo Chop","None","Takeaway","Spicy","Low",1
29,"snacks","Poda Pitha","Tea","Takeaway","Spicy","Low",2
30,"drinks","Buttermilk","None","Dine-in","Savory","Medium","Family Pack"
31,"lunch","Chingudi Jhola","None","Takeaway","Spicy","Medium",1
32,"breakfast","Bara","None","Online","Savory","Low","Family Pack"
33,"dinner","Khaja","None","Takeaway","Spicy","High",6
34,"breakfast","Pakhala Bhata","Badi Chura","Online","Spicy","High",1
35,"dinner","Alu Dum","None","Online","Mild","Low",6
36,"snacks","Ghugni Chat","None","Dine-in","Sweet","High",1
37,"drinks","Palm Juice","None","Online","Mild","High",2
38,"lunch","Mansa Tarkari","None","Dine-in","Spicy","Medium","Family Pack"
39,"breakfast","Pakhala Bhata","Badi Chura","Dine-in","Sweet","Low","Family Pack"
40,"snacks","Chhena Gaja","None","Online","Spicy","Low",1
41,"lunch","Dalma","Rice & Saga Bhaja","Online","Spicy","High",1
42,"drinks","Tea","None","Takeaway","Spicy","Low",6
43,"breakfast","Ghugni","Piaji","Dine-in","Spicy","High",6
